;
; catches-in-kilos from all capelin fleets
;
;<year> <step> <area> <fleet> <biomass>
;
1965 3 1     capelin.catch.total 2.240e+08
1966 3 1     capelin.catch.total 3.890e+08
1967 3 1     capelin.catch.total 4.090e+08
1968 3 1     capelin.catch.total 5.370e+08
1969 3 1     capelin.catch.total 6.800e+08
1970 3 1     capelin.catch.total 1.314e+09
1971 3 1     capelin.catch.total 1.392e+09
1972 3 1     capelin.catch.total 1.591e+09
1973 3 1     capelin.catch.total 1.337e+09
1974 3 1     capelin.catch.total 1.148e+09
1975 3 1     capelin.catch.total 1.441e+09
1976 3 1     capelin.catch.total 2.587e+09
1977 3 1     capelin.catch.total 2.986e+09
1978 3 1     capelin.catch.total 1.916e+09
1979 3 1     capelin.catch.total 1.782e+09
1980 3 1     capelin.catch.total 1.648e+09
1981 3 1     capelin.catch.total 1.986e+09
1982 3 1     capelin.catch.total 1.760e+09
1983 3 1     capelin.catch.total 2.357e+09
1984 3 1     capelin.catch.total 1.477e+09
1985 3 1     capelin.catch.total 8.680e+08
1986 3 1     capelin.catch.total 1.230e+08
1987 3 1     capelin.catch.total 0.000e+00
1988 3 1     capelin.catch.total 0.000e+00
1989 3 1     capelin.catch.total 0.000e+00
1990 3 1     capelin.catch.total 0.000e+00
1991 3 1     capelin.catch.total 9.330e+08
1992 3 1     capelin.catch.total 1.123e+09
1993 3 1     capelin.catch.total 5.860e+08
1994 3 1     capelin.catch.total 0.000e+00
1995 3 1     capelin.catch.total 0.000e+00
1996 3 1     capelin.catch.total 0.000e+00
1997 3 1     capelin.catch.total 1.000e+06
1998 3 1     capelin.catch.total 3.000e+06
1999 3 1     capelin.catch.total 1.050e+08
2000 3 1     capelin.catch.total 4.100e+08
2001 3 1     capelin.catch.total 5.780e+08
2002 3 1     capelin.catch.total 6.590e+08
2003 3 1     capelin.catch.total 2.820e+08
2004 3 1     capelin.catch.total 0.000e+00
2005 3 1     capelin.catch.total 1.000e+06
2006 3 1     capelin.catch.total 0.000e+00
2007 3 1     capelin.catch.total 4.000e+06
2008 3 1     capelin.catch.total 1.200e+07
2009 3 1     capelin.catch.total 3.070e+08
2010 3 1     capelin.catch.total 3.230e+08
2011 3 1     capelin.catch.total 3.600e+08
2012 3 1     capelin.catch.total 2.960e+08
2013 3 1     capelin.catch.total 1.770e+08
2014 3 1     capelin.catch.total 6.600e+07
2015 3 1     capelin.catch.total 1.150e+08
2016 3 1     capelin.catch.total 0.000e+00
2017 3 1     capelin.catch.total 0.000e+00
1972 3 1 capelin.survey.acoustic 4286201000
1973 3 1 capelin.survey.acoustic 5146184000
1974 3 1 capelin.survey.acoustic 5738080000
1975 3 1 capelin.survey.acoustic 7815803000
1976 3 1 capelin.survey.acoustic 6420362000
1977 3 1 capelin.survey.acoustic 4802835000
1978 3 1 capelin.survey.acoustic 4247497000
1979 3 1 capelin.survey.acoustic 4160896000
1980 3 1 capelin.survey.acoustic 6723481000
1981 3 1 capelin.survey.acoustic 3892090000
1982 3 1 capelin.survey.acoustic 3778211740
1983 3 1 capelin.survey.acoustic 4225390000
1984 3 1 capelin.survey.acoustic 2964324000
1985 3 1 capelin.survey.acoustic  857381000
1986 3 1 capelin.survey.acoustic  120195900
1987 3 1 capelin.survey.acoustic  100080000
1988 3 1 capelin.survey.acoustic  427301800
1989 3 1 capelin.survey.acoustic  868875000
1990 3 1 capelin.survey.acoustic 5837780000
1991 3 1 capelin.survey.acoustic 7281830000
1992 3 1 capelin.survey.acoustic 5155023000
1993 3 1 capelin.survey.acoustic  796774000
1994 3 1 capelin.survey.acoustic  809949400
1995 3 1 capelin.survey.acoustic  193576500
1996 3 1 capelin.survey.acoustic  502113300
1997 3 1 capelin.survey.acoustic  910015300
1998 3 1 capelin.survey.acoustic 2054730200
1999 3 1 capelin.survey.acoustic 2774118400
2000 3 1 capelin.survey.acoustic 4273820900
2001 3 1 capelin.survey.acoustic 3629100200
2002 3 1 capelin.survey.acoustic 2208727400
2003 3 1 capelin.survey.acoustic  533609500
2004 3 1 capelin.survey.acoustic  627486500
2005 3 1 capelin.survey.acoustic  324053600
2006 3 1 capelin.survey.acoustic  787193100
2007 3 1 capelin.survey.acoustic 1881498200
2008 3 1 capelin.survey.acoustic 4426460100
2009 3 1 capelin.survey.acoustic 3755699800
2010 3 1 capelin.survey.acoustic 4013256600
2011 3 1 capelin.survey.acoustic 3707661900
2012 3 1 capelin.survey.acoustic 3585719400
2013 3 1 capelin.survey.acoustic 3955701400
2014 3 1 capelin.survey.acoustic 1949410700
2015 3 1 capelin.survey.acoustic  842422000
2016 3 1 capelin.survey.acoustic  328220700
2017 3 1 capelin.survey.acoustic 2506384899

