;
; catches-in-kilos from all cod fleets
;
;<year> <step> <area> <fleet> <biomass>
;
1989 2 1 catch.gill  3080295.3
1989 2 2 catch.gill 14825004.2
1989 3 1 catch.gill   161226.8
1989 4 1 catch.gill    29424.7
1990 1 1 catch.gill   344588.7
1990 1 2 catch.gill 14618286.7
1990 2 1 catch.gill   515677.6
1990 2 2 catch.gill  4152784.8
1990 3 1 catch.gill   171482.8
1990 4 1 catch.gill    52706.8
1991 1 1 catch.gill  1578729.3
1991 1 2 catch.gill 32289486.8
1991 2 1 catch.gill   759442.5
1991 2 2 catch.gill  6261740.9
1991 3 1 catch.gill   288565.7
1991 4 1 catch.gill   290295.2
1992 1 1 catch.gill  1575258.4
1992 1 2 catch.gill 35963880.6
1992 2 1 catch.gill   975062.3
1992 2 2 catch.gill  7134099.6
1992 3 1 catch.gill   689008.3
1992 4 1 catch.gill   590803.1
1993 1 1 catch.gill  1842546.6
1993 1 2 catch.gill 36432370.8
1993 2 1 catch.gill  1249892.5
1993 2 2 catch.gill 14524663.2
1993 3 1 catch.gill   391911.7
1993 4 1 catch.gill   392664.8
1994 1 1 catch.gill  2426489.1
1994 1 2 catch.gill 39088260.5
1994 2 1 catch.gill  1899030.5
1994 2 2 catch.gill 21554377.4
1994 3 1 catch.gill   423577.3
1994 4 1 catch.gill   777518.8
1995 1 1 catch.gill  1079123.5
1995 1 2 catch.gill 37029609.4
1995 2 1 catch.gill  2980861.0
1995 2 2 catch.gill 20141443.2
1995 3 1 catch.gill   730888.5
1995 4 1 catch.gill  1331640.5
1996 1 1 catch.gill  1906348.9
1996 1 2 catch.gill 53862909.0
1996 2 1 catch.gill  1486867.3
1996 2 2 catch.gill 13110158.7
1996 3 1 catch.gill  1529317.1
1996 4 1 catch.gill  2425390.7
1997 1 1 catch.gill  1951856.4
1997 1 2 catch.gill 49020456.1
1997 2 1 catch.gill  3638478.7
1997 2 2 catch.gill 26067616.5
1997 3 1 catch.gill  1194279.6
1997 4 1 catch.gill  2511856.0
1998 1 1 catch.gill  1436884.5
1998 1 2 catch.gill 43977389.4
1998 2 1 catch.gill  5256500.6
1998 2 2 catch.gill 27074203.6
1998 3 1 catch.gill   231066.0
1998 4 1 catch.gill  1337056.2
1999 1 1 catch.gill  1914812.9
1999 1 2 catch.gill 30262973.6
1999 2 1 catch.gill  2738324.9
1999 2 2 catch.gill 13797477.9
1999 3 1 catch.gill   698846.5
1999 4 1 catch.gill  1429109.5
2000 1 1 catch.gill  2611376.0
2000 1 2 catch.gill 26333552.8
2000 2 1 catch.gill  2383008.0
2000 2 2 catch.gill 13484590.0
2000 3 1 catch.gill   285273.5
2000 4 1 catch.gill   997186.4
2001 1 1 catch.gill  2167218.7
2001 1 2 catch.gill 35793468.6
2001 2 1 catch.gill  2435558.8
2001 2 2 catch.gill 10632273.3
2001 3 1 catch.gill   160683.9
2001 4 1 catch.gill   960426.0
2002 1 1 catch.gill  1574607.0
2002 1 2 catch.gill 39516090.8
2002 2 1 catch.gill  2523069.8
2002 2 2 catch.gill  8836792.4
2002 3 1 catch.gill   101475.8
2002 4 1 catch.gill   565369.2
2003 1 1 catch.gill   816315.9
2003 1 2 catch.gill 41381164.8
2003 2 1 catch.gill   420610.7
2003 2 2 catch.gill  7602291.8
2003 3 1 catch.gill   158336.0
2003 4 1 catch.gill   785388.1
2004 1 1 catch.gill  1840116.4
2004 1 2 catch.gill 42507619.6
2004 2 1 catch.gill  2540070.5
2004 2 2 catch.gill  5721955.2
2004 3 1 catch.gill   199910.0
2004 4 1 catch.gill   869166.8
2005 1 1 catch.gill  1656647.9
2005 1 2 catch.gill 34254702.5
2005 2 1 catch.gill  4966314.7
2005 2 2 catch.gill  8262093.1
2005 3 1 catch.gill    50221.1
2005 4 1 catch.gill   438028.3
2006 1 1 catch.gill  2176586.6
2006 1 2 catch.gill 39032906.2
2006 2 1 catch.gill  1563520.1
2006 2 2 catch.gill  8055982.6
2006 3 1 catch.gill    59124.7
2006 4 1 catch.gill   975186.8
2007 1 1 catch.gill  4648975.3
2007 1 2 catch.gill 43678492.6
2007 2 1 catch.gill  2407507.3
2007 2 2 catch.gill  6956699.2
2007 3 1 catch.gill    88767.9
2007 4 1 catch.gill   450569.7
2008 1 1 catch.gill  4232987.8
2008 1 2 catch.gill 43254843.8
2008 2 1 catch.gill  1958047.9
2008 2 2 catch.gill  6062866.4
2008 3 1 catch.gill   161534.7
2008 4 1 catch.gill   885290.8
2009 1 1 catch.gill  4738269.7
2009 1 2 catch.gill 40188341.1
2009 2 1 catch.gill  1450288.7
2009 2 2 catch.gill  5243420.6
2009 3 1 catch.gill   270909.8
2009 4 1 catch.gill  2472532.3
2010 1 1 catch.gill  5117637.7
2010 1 2 catch.gill 47530030.2
2010 2 1 catch.gill  4271304.2
2010 2 2 catch.gill 12792363.7
2010 3 1 catch.gill   201145.9
2010 4 1 catch.gill   782552.7
2011 1 1 catch.gill  5408587.1
2011 1 2 catch.gill 48805743.0
2011 2 1 catch.gill  4464549.8
2011 2 2 catch.gill 17238649.0
2011 3 1 catch.gill   194980.1
2011 4 1 catch.gill  3127327.6
2012 1 1 catch.gill  7110577.7
2012 1 2 catch.gill 59568289.2
2012 2 1 catch.gill  2383744.3
2012 2 2 catch.gill 13105183.8
2012 3 1 catch.gill    39608.2
2012 4 1 catch.gill  2447586.9
2013 1 1 catch.gill  4464618.8
2013 1 2 catch.gill 68663604.3
2013 2 1 catch.gill  3210422.0
2013 2 2 catch.gill 22739107.9
2013 3 1 catch.gill   183588.0
2013 4 1 catch.gill  4339391.9
2014 1 1 catch.gill  5078286.0
2014 1 2 catch.gill 80442572.0
2014 2 1 catch.gill  2755964.6
2014 2 2 catch.gill 16585412.1
2014 3 1 catch.gill   495785.0
