age,mean,sd
1,0.001283,0.053986
2,0.001283,0.053986
3,0.001283,0.053986
4,0.001283,0.053986
5,0.001283,0.053986
6,0.001283,0.053986
7,0.001283,0.053986
8,0.001283,0.053986
9,0.001283,0.053986
10,0.001283,0.053986
11,0.001283,0.053986
12,0.001283,0.053986
13,0.001283,0.053986
14,0.001283,0.053986
15,0.001283,0.053986
16,0.001283,0.053986
17,0.001283,0.053986
18,0.001283,0.053986
19,0.001283,0.053986
20,0.001283,0.053986
21,0.001283,0.053986
22,0.001283,0.053986
23,0.001283,0.053986
24,0.001283,0.053986
25,0.001283,0.053986
